trade_no,entry_time,exit_time,direction,entry_price,exit_price,outcome,holding_hours,pnl_raw,commission,funding_fee,interest_fee,total_cost,pnl_net,pnl_pct,result,capital,leverage
1,2022-01-01 04:00:00,2022-02-05 00:00:00,SHORT,3723.96,2994.99,FLIP,836.0,489.38,2.26,-47.14,23.57,-21.31,510.69,20.43,WIN,3010.69,1
2,2022-02-05 00:00:00,2022-02-11 20:00:00,LONG,2994.99,2992.9,FLIP,164.0,-2.1,3.01,12.34,6.17,21.52,-23.62,-0.78,LOSS,2987.07,1
3,2022-02-11 20:00:00,2022-02-15 04:00:00,SHORT,2992.9,3025.12,FLIP,80.0,-32.16,3.0,-6.01,3.0,-0.0,-32.16,-1.08,LOSS,2954.91,1
4,2022-02-15 04:00:00,2022-02-17 16:00:00,LONG,3025.12,2989.26,FLIP,60.0,-35.03,2.94,4.41,2.2,9.55,-44.57,-1.51,LOSS,2910.34,1
5,2022-02-17 16:00:00,2022-03-01 00:00:00,SHORT,2989.26,2920.83,FLIP,272.0,66.62,2.88,-19.56,9.78,-6.9,73.53,2.53,WIN,2983.87,1
6,2022-03-01 00:00:00,2022-03-03 16:00:00,LONG,2920.83,2827.99,FLIP,64.0,-94.84,2.94,4.7,2.35,9.98,-104.83,-3.51,LOSS,2879.04,1
7,2022-03-03 16:00:00,2022-03-16 20:00:00,SHORT,2827.99,2753.16,FLIP,316.0,76.18,2.84,-22.44,11.22,-8.38,84.56,2.94,WIN,2963.6,1
8,2022-03-16 20:00:00,2022-04-11 12:00:00,LONG,2753.16,3051.57,FLIP,616.0,321.22,3.12,48.11,24.06,75.29,245.93,8.3,WIN,3209.53,1
9,2022-04-11 12:00:00,2022-04-19 16:00:00,SHORT,3051.57,3110.53,FLIP,196.0,-62.01,3.24,-15.88,7.94,-4.7,-57.31,-1.79,LOSS,3152.21,1
10,2022-04-19 16:00:00,2022-04-20 04:00:00,LONG,3110.53,3091.63,FLIP,12.0,-19.15,3.14,0.94,0.47,4.56,-23.71,-0.75,LOSS,3128.5,1
11,2022-04-20 04:00:00,2022-04-20 12:00:00,SHORT,3091.63,3152.78,FLIP,8.0,-61.88,3.16,-0.63,0.32,2.84,-64.72,-2.07,LOSS,3063.78,1
12,2022-04-20 12:00:00,2022-04-20 16:00:00,LONG,3152.78,3068.3,FLIP,4.0,-82.1,3.02,0.3,0.15,3.48,-85.57,-2.79,LOSS,2978.21,1
13,2022-04-20 16:00:00,2022-04-21 04:00:00,SHORT,3068.3,3096.8,FLIP,12.0,-27.66,2.99,-0.9,0.45,2.54,-30.21,-1.01,LOSS,2948.0,1
14,2022-04-21 04:00:00,2022-04-21 20:00:00,LONG,3096.8,3026.23,FLIP,16.0,-67.18,2.91,1.17,0.58,4.66,-71.84,-2.44,LOSS,2876.16,1
15,2022-04-21 20:00:00,2022-07-15 20:00:00,SHORT,3026.23,1266.33,FLIP,2040.0,1672.63,2.04,-104.03,52.02,-49.98,1722.6,59.89,WIN,4598.77,1
16,2022-07-15 20:00:00,2022-07-16 00:00:00,LONG,1266.33,1231.25,FLIP,4.0,-127.4,4.54,0.45,0.23,5.22,-132.61,-2.88,LOSS,4466.15,1
17,2022-07-16 00:00:00,2022-07-16 16:00:00,SHORT,1231.25,1274.34,FLIP,16.0,-156.3,4.54,-1.82,0.91,3.64,-159.94,-3.58,LOSS,4306.22,1
18,2022-07-16 16:00:00,2022-07-26 20:00:00,LONG,1274.34,1366.09,FLIP,244.0,310.04,4.46,27.21,13.61,45.28,264.76,6.15,WIN,4570.98,1
19,2022-07-26 20:00:00,2022-07-27 00:00:00,SHORT,1366.09,1449.12,FLIP,4.0,-277.82,4.71,-0.47,0.24,4.47,-282.3,-6.18,LOSS,4288.68,1
20,2022-07-27 00:00:00,2022-08-20 00:00:00,LONG,1449.12,1609.0,FLIP,576.0,473.17,4.53,65.16,32.58,102.27,370.89,8.65,WIN,4659.58,1
21,2022-08-20 00:00:00,2022-08-24 16:00:00,SHORT,1609.0,1683.49,FLIP,112.0,-215.72,4.77,-13.35,6.67,-1.91,-213.81,-4.59,LOSS,4445.76,1
22,2022-08-24 16:00:00,2022-08-25 00:00:00,LONG,1683.49,1656.56,FLIP,8.0,-71.12,4.41,0.88,0.44,5.73,-76.85,-1.73,LOSS,4368.91,1
23,2022-08-25 00:00:00,2022-08-25 08:00:00,SHORT,1656.56,1708.92,FLIP,8.0,-138.09,4.44,-0.89,0.44,3.99,-142.09,-3.25,LOSS,4226.83,1
24,2022-08-25 08:00:00,2022-08-26 08:00:00,LONG,1708.92,1660.56,FLIP,24.0,-119.61,4.17,2.5,1.25,7.92,-127.53,-3.02,LOSS,4099.3,1
25,2022-08-26 08:00:00,2022-09-02 16:00:00,SHORT,1660.56,1636.33,FLIP,176.0,59.81,4.07,-17.91,8.95,-4.88,64.7,1.58,WIN,4164.0,1
26,2022-09-02 16:00:00,2022-09-02 20:00:00,LONG,1636.33,1561.47,FLIP,4.0,-190.5,4.07,0.41,0.2,4.68,-195.18,-4.69,LOSS,3968.82,1
27,2022-09-02 20:00:00,2022-09-06 00:00:00,SHORT,1561.47,1617.8,FLIP,76.0,-143.18,4.04,-7.68,3.84,0.2,-143.38,-3.61,LOSS,3825.44,1
28,2022-09-06 00:00:00,2022-09-06 20:00:00,LONG,1617.8,1576.67,FLIP,20.0,-97.26,3.78,1.89,0.94,6.61,-103.87,-2.72,LOSS,3721.58,1
29,2022-09-06 20:00:00,2022-09-08 00:00:00,SHORT,1576.67,1630.0,FLIP,28.0,-125.88,3.78,-2.65,1.32,2.46,-128.34,-3.45,LOSS,3593.24,1
30,2022-09-08 00:00:00,2022-09-13 16:00:00,LONG,1630.0,1594.44,FLIP,136.0,-78.39,3.55,12.08,6.04,21.68,-100.07,-2.78,LOSS,3493.17,1
31,2022-09-13 16:00:00,2022-10-24 00:00:00,SHORT,1594.44,1364.19,FLIP,968.0,504.44,3.24,-78.43,39.22,-35.97,540.42,15.47,WIN,4033.58,1
32,2022-10-24 00:00:00,2022-10-24 08:00:00,LONG,1364.19,1336.79,FLIP,8.0,-81.02,3.99,0.8,0.4,5.19,-86.21,-2.14,LOSS,3947.38,1
33,2022-10-24 08:00:00,2022-10-24 12:00:00,SHORT,1336.79,1353.4,FLIP,4.0,-49.05,3.97,-0.4,0.2,3.77,-52.82,-1.34,LOSS,3894.56,1
34,2022-10-24 12:00:00,2022-10-24 16:00:00,LONG,1353.4,1341.63,FLIP,4.0,-33.87,3.88,0.39,0.19,4.46,-38.33,-0.98,LOSS,3856.23,1
35,2022-10-24 16:00:00,2022-10-24 20:00:00,SHORT,1341.63,1344.96,FLIP,4.0,-9.57,3.86,-0.39,0.19,3.67,-13.24,-0.34,LOSS,3842.99,1
36,2022-10-24 20:00:00,2022-10-25 00:00:00,LONG,1344.96,1343.61,FLIP,4.0,-3.86,3.84,0.38,0.19,4.42,-8.27,-0.22,LOSS,3834.71,1
37,2022-10-25 00:00:00,2022-10-25 04:00:00,SHORT,1343.61,1347.61,FLIP,4.0,-11.42,3.84,-0.38,0.19,3.65,-15.06,-0.39,LOSS,3819.65,1
38,2022-10-25 04:00:00,2022-11-08 12:00:00,LONG,1347.61,1476.87,FLIP,344.0,366.37,4.0,34.42,17.21,55.64,310.73,8.14,WIN,4130.38,1
39,2022-11-08 12:00:00,2022-11-30 20:00:00,SHORT,1476.87,1287.2,FLIP,536.0,530.45,3.87,-51.79,25.9,-22.03,552.48,13.38,WIN,4682.87,1
40,2022-11-30 20:00:00,2022-12-01 16:00:00,LONG,1287.2,1271.54,FLIP,20.0,-56.97,4.65,2.33,1.16,8.15,-65.12,-1.39,LOSS,4617.75,1
41,2022-12-01 16:00:00,2022-12-01 20:00:00,SHORT,1271.54,1275.91,FLIP,4.0,-15.87,4.63,-0.46,0.23,4.39,-20.26,-0.44,LOSS,4597.48,1
42,2022-12-01 20:00:00,2022-12-02 04:00:00,LONG,1275.91,1271.69,FLIP,8.0,-15.21,4.59,0.92,0.46,5.97,-21.17,-0.46,LOSS,4576.31,1
43,2022-12-02 04:00:00,2022-12-02 12:00:00,SHORT,1271.69,1288.82,FLIP,8.0,-61.64,4.61,-0.92,0.46,4.15,-65.79,-1.44,LOSS,4510.52,1
44,2022-12-02 12:00:00,2022-12-03 08:00:00,LONG,1288.82,1276.08,FLIP,20.0,-44.59,4.49,2.24,1.12,7.85,-52.44,-1.16,LOSS,4458.08,1
45,2022-12-03 08:00:00,2022-12-04 20:00:00,SHORT,1276.08,1278.49,FLIP,36.0,-8.42,4.46,-4.02,2.01,2.45,-10.87,-0.24,LOSS,4447.21,1
46,2022-12-04 20:00:00,2022-12-05 16:00:00,LONG,1278.49,1266.59,FLIP,20.0,-41.39,4.43,2.21,1.11,7.75,-49.14,-1.1,LOSS,4398.07,1
47,2022-12-05 16:00:00,2022-12-08 20:00:00,SHORT,1266.59,1283.9,FLIP,76.0,-60.11,4.43,-8.41,4.21,0.22,-60.33,-1.37,LOSS,4337.74,1
