entry_time,exit_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_gross,cost,pnl_net,rr_actual,result,capital,trend_1d,rsi,rsi_ma
2024-01-01 05:00:00,2024-01-02 00:00:00,LONG,2279.54,2273.8,2365.64,2365.64,TP,538.23,14.52,523.71,14.6,WIN,3023.71,bullish,43.24,46.06
2024-01-02 08:00:00,2024-01-02 14:00:00,LONG,2385.84,2373.86,2565.54,2373.86,SL,-60.47,12.01,-72.49,-1.2,LOSS,2951.23,bullish,70.04,70.96
2024-01-02 17:00:00,2024-01-02 18:00:00,LONG,2367.92,2357.48,2524.52,2357.48,SL,-59.02,13.36,-72.38,-1.23,LOSS,2878.84,bullish,51.2,64.57
2024-01-02 22:00:00,2024-01-02 23:00:00,LONG,2366.33,2359.86,2463.38,2359.86,SL,-44.87,16.39,-61.25,-1.37,LOSS,2817.59,bullish,50.81,56.95
2024-01-03 01:00:00,2024-01-03 11:00:00,LONG,2361.39,2355.35,2451.99,2355.35,SL,-41.08,16.04,-57.12,-1.39,LOSS,2760.47,bullish,49.3,51.94
2024-01-03 16:00:00,2024-01-03 18:00:00,LONG,2240.39,2193.76,2939.84,2193.76,SL,-55.21,2.62,-57.83,-1.05,LOSS,2702.64,bullish,32.17,42.42
2024-01-03 20:00:00,2024-01-03 23:00:00,LONG,2206.54,2198.23,2331.19,2198.23,SL,-54.05,14.33,-68.38,-1.27,LOSS,2634.26,bullish,29.51,35.68
2024-01-05 18:00:00,2024-01-07 22:00:00,LONG,2232.1,2211.82,2536.3,2211.82,SL,-52.69,5.77,-58.46,-1.11,LOSS,2575.8,bullish,44.33,44.65
2024-01-08 00:00:00,2024-01-08 01:00:00,LONG,2221.42,2216.4,2296.72,2216.4,SL,-33.18,14.67,-47.84,-1.44,LOSS,2527.96,bullish,40.73,47.54
2024-01-08 04:00:00,2024-01-08 17:00:00,LONG,2190.88,2183.79,2297.23,2297.23,TP,699.46,14.76,684.7,14.68,WIN,3212.66,bullish,34.97,43.15
2024-01-09 05:00:00,2024-01-09 06:00:00,LONG,2315.2,2309.12,2406.4,2309.12,SL,-48.09,18.29,-66.38,-1.38,LOSS,3146.28,bullish,60.83,66.75
2024-01-09 08:00:00,2024-01-09 09:00:00,LONG,2306.05,2302.0,2366.8,2302.0,SL,-31.5,17.92,-49.41,-1.57,LOSS,3096.87,bullish,56.49,64.71
2024-01-09 14:00:00,2024-01-09 15:00:00,LONG,2275.25,2264.2,2441.0,2264.2,SL,-61.94,12.72,-74.66,-1.21,LOSS,3022.21,bullish,45.05,54.2
